id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,claim_status
569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,owned,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,no claim
750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,leased,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,claim
199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,owned,before 2015,0.0,0.0,10238,11000.0,sedan,0,0,0,no claim
478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,owned,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,no claim
731664,26-39,male,majority,10-19y,none,working class,0.3883658881572184,owned,before 2015,0.0,0.0,32765,12000.0,sedan,2,0,1,claim
877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,owned,after 2015,0.0,1.0,10238,13000.0,sedan,3,0,3,no claim
930134,65+,male,majority,30y+,high school,upper class,0.4929435502195342,leased,after 2015,1.0,1.0,10238,13000.0,sedan,7,0,3,no claim
461006,26-39,female,majority,0-9y,university,working class,0.468689297434465,leased,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,claim
68366,40-64,female,majority,20-29y,university,working class,0.5218149362971065,leased,before 2015,1.0,0.0,10238,13000.0,sedan,0,0,0,no claim
445911,40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,owned,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,claim
275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,owned,after 2015,1.0,1.0,10238,10000.0,sedan,6,2,7,no claim
521399,65+,female,majority,30y+,high school,upper class,0.7298308815593941,owned,after 2015,1.0,0.0,32765,12000.0,sedan,4,0,0,no claim
429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,owned,before 2015,1.0,1.0,10238,8000.0,sedan,4,1,2,no claim
569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,owned,before 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,no claim
980181,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,owned,before 2015,1.0,1.0,10238,12000.0,sedan,0,2,1,no claim
906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,leased,after 2015,1.0,0.0,10238,12000.0,sedan,0,0,0,no claim
517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,owned,before 2015,1.0,1.0,32765,12000.0,sedan,10,2,1,no claim
24851,16-25,male,majority,0-9y,none,poverty,0.5250327586154788,leased,before 2015,1.0,0.0,32765,12000.0,sedan,0,0,0,claim
